,Model_Name,fit_time,Score_time,F1_score,Accuracy,Precision,Recall,Hyperparameter
0,LR,6.345258499999999,0.0015213000000002808,0.9901618533798794,0.98092014156024,0.9805153991200503,1.0,{}
1,LDA,3.826514500000002,0.0014615999999989526,0.9907120743034055,0.9819972303431297,0.9815950920245399,1.0,{}
2,DT,23.1652185,0.0019289000000028977,0.3773487106388493,0.26065548545930145,0.985781990521327,0.23333333333333334,{'max_depth': 7}
3,GNB,2.077854700000003,0.012166099999994628,0.0,0.0393906754885367,0.0,0.0,"{'var_smoothing': 1e-09, 'priors': None}"
4,MLPC,1090.063705,0.010265899999922112,0.9905548059369791,0.9816894906908755,0.9812863657807831,1.0,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'activation': 'relu'}"
5,SVC,668.7650979,0.38822940000000017,0.9884910485933504,0.9778427450376981,0.985969387755102,0.9910256410256411,"{'C': 7.680445610939323, 'gamma': 1.0255966382926611}"
6,RF,137.8049128,0.06212620000019342,0.0,0.039544545314663795,0.0,0.0,{'n_estimators': 100}
7,KNN,744.0783182,13.690819500000089,0.9921234783992362,0.9847668872134174,0.9851477326591879,0.999198717948718,{'n_neighbors': 27}
