,Model_Name,fit_time,Score_time,F1_score,Accuracy,Precision,Recall,Hyperparameter
0,LR,2.5867762999999995,0.004881899999999995,0.9876241771394376,0.9831979200519987,0.9774924184988628,0.9979681679647816,{}
1,LDA,1.3037909,0.00507209999999958,0.8797951781523362,0.8168995775105622,0.7869766021603878,0.9974360214793673,{}
2,DT,6.480728000000001,0.007550799999998858,0.9919233931421386,0.9891452713682158,0.9916356427984335,0.9922113105316627,{'max_depth': 3}
3,GNB,0.8409702999999986,0.058514399999999966,0.9938916922185472,0.9917777055573611,0.9920474262579526,0.9957428281166852,"{'var_smoothing': 1e-09, 'priors': None}"
4,MLPC,485.14197920000004,0.04119029999998247,0.9894903541606681,0.9857653558661034,0.9816234229945251,0.9974843984325867,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'activation': 'relu'}"
5,SVC,69.00990720000004,4.531373400000007,0.992019998077108,0.9892102697432564,0.9858118759852864,0.998306806637318,"{'C': 2.2021839744032574, 'gamma': 0.932619845547938}"
6,RF,25.452051799999936,0.15889149999998153,0.9987899322362052,0.9983750406239844,0.9993220010654269,0.9982584296840985,{'n_estimators': 75}
7,KNN,83.92503380000005,20.740004,0.9931147383119071,0.9907052323691907,0.9884506637274165,0.9978230371051231,{'n_neighbors': 23}
