,Model_Name,fit_time,Score_time,F1_score,Accuracy,Precision,Recall,Hyperparameter
0,DT,3.5431751999999994,0.016674599999999984,0.0001596615175827246,0.0061892481650466175,0.018867924528301886,8.016996031586964e-05,{'max_depth': 19}
1,GNB,0.45517129999999995,0.09763739999999999,0.0001603270672171229,0.010315413608411029,1.0,8.016996031586964e-05,"{'var_smoothing': 1e-09, 'priors': None}"
2,MLPC,186.97729370000002,0.18400669999999764,0.9958653278204371,0.9918071811148582,0.9948792830996339,0.9968533290576022,"{'solver': 'sgd', 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'alpha': 0.0001, 'activation': 'tanh'}"
3,SVC,2.2895615999999848,0.2881279000000063,0.005396869815507006,0.012914104344376115,1.0,0.0027057361606606005,"{'C': 7.4881350392732475, 'gamma': 0.8151893663724195}"
4,RF,10.703447600000004,0.1915937999999926,0.0062734755853911936,0.013330688355485024,0.9936708860759493,0.0031466709423978835,{'n_estimators': 75}
5,KNN,28.172344100000004,19.753867999999983,0.9973807857642707,0.9948026185280698,0.994973671613212,0.9997995750992104,{'n_neighbors': 23}
