,Model_Name,fit_time,Score_time,F1_score,Accuracy,Precision,Recall,Hyperparameter
0,LR,5.1520513999999995,0.010747799999998975,0.14550366653801622,0.7145619802746084,0.6976313841598816,0.08122199241640814,{}
1,LDA,3.1677642000000006,0.009256699999999896,0.1622466087486664,0.7165474118481274,0.7012516469038208,0.0917356084108928,{}
2,DT,33.272568899999996,0.013362099999994825,0.17788386288934105,0.7291304067556243,0.9680579216354344,0.0979403653912444,{'max_depth': 3}
3,GNB,1.5607539000000017,0.07612869999999816,0.4638445956474316,0.334583897376394,0.30559699960304965,0.9619958634953464,"{'var_smoothing': 1e-09, 'priors': None}"
4,MLPC,1388.4064985,0.42593379999993886,0.19337504318120755,0.7290659446915491,0.8854130052724077,0.10854015856601172,"{'solver': 'adam', 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.05, 'activation': 'relu'}"
5,SVC,3827.1944829000004,485.44092340000043,0.16024604708016246,0.7254302842777026,0.9437993497445425,0.08755601516718373,{}
6,RF,302.9291205999998,1.6505498999995325,0.286436030929423,0.7013730419648038,0.5024316437912029,0.20031885556704584,{'n_estimators': 125}
7,KNN,557.2357714999998,97.15110910000021,0.25783676927421634,0.7289499129762135,0.71328125,0.15735953119613927,{'n_neighbors': 28}
